ID;date;ComputerName;Name;Vendor;Version;Decomissioned
;;S1DW-DB-S;Windows Software Development Kit for Windows Store Apps DirectX x86 Remote;Microsoft Corporation;8.59.29699;0
;;S1DW-DB-S;QLogic NIC HBA Management Agent;QLogic Corporation;1.01.92;0
;;S1DW-DB-S;Headless Server Registry Update;Hewlett-Packard Company;1.0.0.0;0
;;S1DW-DB-S;SQL Server 2012 Client Tools;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;HP Lights-Out Online Configuration Utility;Hewlett-Packard Development Company. L.P.;4.0.0.0;0
;;S1DW-DB-S;SQL Server 2012 Analysis Services;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;Windows Software Development Kit DirectX x86 Remote;Microsoft Corporation;8.59.25584;0
;;S1DW-DB-S;HP ProLiant Agentless Management Service;Hewlett-Packard Company;9.0.0.0;0
;;S1DW-DB-S;SQL Server 2012 Data quality client;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;Microsoft .NET Framework 4 Multi-Targeting Pack;Microsoft Corporation;4.0.30319;0
;;S1DW-DB-S;Microsoft Policy Platform;Microsoft Corporation;1.2.3602.0;0
;;S1DW-DB-S;Prerequisites for SSDT ;Microsoft Corporation;11.0.2100.60;0
;;S1DW-DB-S;HP Smart Array SAS/SATA Event Notification Service;Hewlett-Packard Development Company. L.P.;6.26.0.64;0
;;S1DW-DB-S;SQL Server 2012 Common Files;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;SQL Server 2012 Reporting Services;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;Microsoft Visual Studio Tools for Applications x64 Runtime 3.0;Microsoft Corporation;10.0.40220;0
;;S1DW-DB-S;Microsoft SQL Server 2012 Native Client ;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;Microsoft Visual C++ 2005 Redistributable (x64);Microsoft Corporation;8.0.59192;0
;;S1DW-DB-S;SQL Server 2012 Reporting Services;Microsoft Corporation;11.0.2100.60;0
;;S1DW-DB-S;Windows Software Development Kit;Microsoft Corporation;8.59.29750;0
;;S1DW-DB-S;SQL Server 2012 Database Engine Services;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;SQL Server 2012 RS_SharePoint_SharedService;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;Microsoft SQL Server 2012 T-SQL Language Service ;Microsoft Corporation;11.0.2100.60;0
;;S1DW-DB-S;HP Insight Diagnostics  Online Edition for Windows;Hewlett-Packard Development Company. L.P.;9.0.0;0
;;S1DW-DB-S;Microsoft SQL Server 2012 Transact-SQL ScriptDom ;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;Microsoft SQL Server 2012 Integration Services Feature Pack for Azure (x64);Microsoft Corporation;11.1.3.0;0
;;S1DW-DB-S;Microsoft SQL Server 2012 RS Add-in for SharePoint ;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;Microsoft SQL Server 2008 Setup Support Files ;Microsoft Corporation;10.1.2731.0;0
;;S1DW-DB-S;SQL Server 2012 Database Engine Shared;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;SQL Server 2012 Database Engine Services;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;WPTx64;Microsoft;8.59.29722;0
;;S1DW-DB-S;SANsurfer iSCSI HBA Management Agent;QLogic Corporation;2.01.0010;0
;;S1DW-DB-S;Windows Software Development Kit for Windows Store Apps DirectX x64 Remote;Microsoft Corporation;8.59.29699;0
;;S1DW-DB-S;Sql Server Customer Experience Improvement Program;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;HP ProLiant iLO 3 WHEA Driver (X64);Hewlett-Packard Company;3.0.0.0;0
;;S1DW-DB-S;Application Verifier x64 External Package;Microsoft;8.59.29722;0
;;S1DW-DB-S;Microsoft Silverlight;Microsoft Corporation;5.1.20513.0;0
;;S1DW-DB-S;HP ProLiant Integrated Management Log Viewer;Hewlett-Packard Company;6.0.0.0;0
;;S1DW-DB-S;SANsurfer FC HBA Management Agent;QLogic Corporation;1.21.1283.13;0
;;S1DW-DB-S;SQL Server 2012 Analysis Services;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;Microsoft SQL Server 2012 Transact-SQL Compiler Service ;Microsoft Corporation;11.1.3128.0;0
;;S1DW-DB-S;Microsoft SQL Server 2012 RsFx Driver;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;SQL Server 2012 BI Development Studio;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;Microsoft SQL Server 2012 Management Objects  (x64);Microsoft Corporation;11.0.2100.60;0
;;S1DW-DB-S;HP Version Control Agent;Hewlett Packard Development Company. L.P.;7.0.0.900;0
;;S1DW-DB-S;Microsoft Report Viewer 2012 Runtime;Microsoft Corporation;11.0.2100.60;0
;;S1DW-DB-S;SQL Server 2012 Database Engine Shared;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;SQL Server 2012 Common Files;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;Microsoft SQL Server 2012 Setup (English);Microsoft Corporation;11.1.3128.0;0
;;S1DW-DB-S;Microsoft VSS Writer for SQL Server 2012;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;Microsoft SQL Server Data Tools ? Database Projects ? Web installer entry point;Microsoft Corporation;10.3.20116.0;0
;;S1DW-DB-S;HP Array Configuration Utility;Hewlett-Packard Development Company. L.P.;9.0.24.0;0
;;S1DW-DB-S;SQL Server 2012 SQL Data Quality Common;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;Windows Software Development Kit for Windows Store Apps;Microsoft Corporation;8.59.29750;0
;;S-K1ACS-S;Microsoft Application Error Reporting;Microsoft Corporation;12.0.6012.5000;0
;;S-K1ACS-S;Microsoft SQL Server System CLR Types;Microsoft Corporation;10.51.2500.0;0
;;S-K1ACS-S;Microsoft Help Viewer 1.1;Microsoft Corporation;1.1.40219;0
;;S-K1ACS-S;Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4974;Microsoft Corporation;9.0.30729.4974;0
;;S-K1ACS-S;SQL Server 2014 SQL Data Quality Common;Microsoft Corporation;12.0.2000.8;0
;;S-K1ACS-S;SQL Server 2014 Data quality client;Microsoft Corporation;12.0.2000.8;0
;;S-K1ACS-S;Microsoft SQL Server 2014 Transact-SQL ScriptDom ;Microsoft Corporation;12.0.2000.8;0
;;S-K1ACS-S;Sql Server Customer Experience Improvement Program;Microsoft Corporation;12.0.2000.8;0
;;S-K1ACS-S;Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219;Microsoft Corporation;10.0.40219;0
;;S-K1ACS-S;Configuration Manager Client;Microsoft Corporation;5.00.7958.1000;0
;;S-K1ACS-S;Microsoft Visual C++ 2005 Redistributable (x64);Microsoft Corporation;8.0.61000;0
;;S-K1ACS-S;Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219;Microsoft Corporation;10.0.40219;0
;;S-K1ACS-S;Microsoft SQL Server 2012 Native Client ;Microsoft Corporation;11.0.2100.60;0
;;S-K1ACS-S;Microsoft SQL Server 2014 RsFx Driver;Microsoft Corporation;12.0.2000.8;0
;;S-K1ACS-S;Visual Studio 2010 Prerequisites - English;Microsoft Corporation;10.0.40219;0
